82Kr	81	913481.1552	0
82Rb	81	918209.024	3.23
82Sr	81	918399.847	6.43
82Y	81	926930.188	5.9
82Zr	81	931689	12
82Nb	81	944079	322
82Mo	81	956661	429
83Zn	82	961041	322
83Ga	82	947120.301	2.8
83Ge	82	934539.101	2.6
83As	82	925206.901	3
83Se	82	919118.609	3.25
83Br	82	915175.289	4.07
83Kr	82	914126.518	0
83Rb	82	915114.182	2.5
83Sr	82	917554.374	7.33
83Y	82	922484.025	20
83Zr	82	929240.925	6.9
83Nb	82	938211	162
83Mo	82	950252	430
83Tc	82	966377	537
84Zn	83	965722	429
84Ga	83	952670	215
84Ge	83	937575.091	3.4
84As	83	929303.291	3.4
84Se	83	918466.762	2.1
84Br	83	916496.419	27.62
84Kr	83	911497.7286	0
84Rb	83	914375.225	2.35
84Sr	83	913419.12	1.33
84Y	83	920671.061	4.61
84Zr	83	923325.662	5.9
84Nb	83	934279	14
84Mo	83	941846	320
84Tc	83	959527	429
85Zn	84	972914	537
85Ga	84	957220	320
85Ge	84	942969.659	4
85As	84	932163.659	3.3
85Se	84	922260.759	2.8
85Br	84	915645.759	3.3
85Kr	84	912527.262	2.14
85Rb	84	911789.7376	0
85Sr	84	912932.043	3.02
85Y	84	916433.039	20.36
85Zr	84	921443.198	6.9
85Nb	84	928845.837	4.4
85Mo	84	938260.737	17
85Tc	84	950778	429
85Ru	84	966774	537
86Ga	85	963414	429
86Ge	85	946967	470
86As	85	936701.533	3.7
86Se	85	924311.733	2.7
86Br	85	918805.433	3.3
86Kr	85	910610.6263	0
86Rb	85	911167.443	0.21
86Sr	85	909260.7263	0
86Y	85	914886.098	15.18
86Zr	85	916296.815	3.82
86Nb	85	925781.535	5.9
86Mo	85	931174.817	4
86Tc	85	944637	322
86Ru	85	957305	429
87Ga	86	968599	537
87Ge	86	952680	322
87As	86	940291.718	3.2
87Se	86	928688.618	2.4
87Br	86	920674.018	3.4
87Kr	86	913354.759	0.26
87Rb	86	909180.531	0
87Sr	86	908877.4962	0
87Y	86	910876.102	1.21
87Zr	86	914817.339	4.45
87Nb	86	920692.472	7.3
87Mo	86	928196.201	3.06
87Tc	86	938067.187	4.5
87Ru	86	951132	429
88Ge	87	956910	429
88As	87	945550	210
88Se	87	931417.491	3.6
88Br	87	924083.291	3.4
88Kr	87	914447.881	2.8
88Rb	87	911315.591	0.17
88Sr	87	905612.2556	0
88Y	87	909501.276	1.61
88Zr	87	910220.709	5.8
88Nb	87	918224.287	63.13
88Mo	87	921967.781	4.1
88Tc	87	933782.381	160
88Ru	87	941664	322
88Rh	87	960429	429
89Ge	88	963790	429
89As	88	949760	320
89Se	88	936669.059	4
89Br	88	926704.559	3.5
89Kr	88	917835.45	2.3
89Rb	88	912278.137	5.82
89Sr	88	907450.808	0.09
89Y	88	905841.205	1.73
89Zr	88	908882.332	3.31
89Nb	88	913445.272	25.36
89Mo	88	919468.15	4.2
89Tc	88	927648.65	4.1
89Ru	88	937455	320
89Rh	88	950767	387
90Ge	89	968630	537
90As	89	955630	429
90Se	89	940096	354
90Br	89	931292.85	3.6
90Kr	89	919527.93	2
90Rb	89	914798.803	6.96
90Sr	89	907730.885	2.28
90Y	89	907144.8	1.72
90Zr	89	904698.758	0.12
90Nb	89	911259.204	3.56
90Mo	89	913931.272	3.71
90Tc	89	924073.921	1.1
90Ru	89	930344.379	4
90Rh	89	944498	322
90Pd	89	957370	429
91As	90	960390	429
91Se	90	945700	465
91Br	90	934398.618	3.8
91Kr	90	923806.31	2.4
91Rb	90	916537.265	8.37
91Sr	90	910195.958	5.85
91Y	90	907298.066	1.97
91Zr	90	905640.223	0.11
91Nb	90	906990.274	3.14
91Mo	90	911745.195	6.69
91Tc	90	918424.975	2.53
91Ru	90	926741.532	2.38
91Rh	90	937123	320
91Pd	90	950692	430
92As	91	966740	537
92Se	91	949840	429
92Br	91	939631.597	7.2
92Kr	91	926173.094	2.9
92Rb	91	919728.481	6.57
92Sr	91	911038.224	3.67
92Y	91	908945.745	9.79
92Zr	91	905035.322	0.1
92Nb	91	907188.568	1.91
92Mo	91	906807.155	0.16
92Tc	91	915269.779	3.33
92Ru	91	920234.375	2.91
92Rh	91	932367.694	4.7
92Pd	91	941406	322
92Ag	91	960139	537
93Se	92	956290	429
93Br	92	943220	462.5
93Kr	92	931147.174	2.7
93Rb	92	922039.325	8.4
93Sr	92	914024.311	8.1
93Y	92	909578.422	11.25
93Zr	92	906470.646	0.49
93Nb	92	906373.161	1.6
93Mo	92	906808.773	0.19
93Tc	92	910245.149	1.08
93Ru	92	917104.444	2.21
93Rh	92	925912.781	2.82
93Pd	92	936660	323
93Ag	92	950330	430
94Se	93	960490	537
94Br	93	949114	322
94Kr	93	934140.454	13
